,real,predict,a,b,c,d
0,0.0,0.0,0,17,5,1
1,0.0,0.0,0,17,5,4
2,1.1425349068166075,0.9613140652952814,0,17,5,9
3,0.0,0.0,0,17,5,5
4,0.0,0.0,0,17,5,3
5,0.0,0.0,0,17,5,10
6,0.0,0.0,0,17,5,6
7,0.0,0.0,0,17,5,7
8,0.0,0.0,0,17,5,2
9,0.0,0.0,0,17,5,8
10,0.0,0.0,0,17,6,1
11,0.0,0.0,0,17,6,4
12,0.0,0.0,0,17,6,9
13,0.0,0.0,0,17,6,5
14,0.0,0.0,0,17,6,3
15,0.0,0.0,0,17,6,10
16,0.0,0.0,0,17,6,6
17,0.0,0.0,0,17,6,7
18,0.0,0.0,0,17,6,2
19,0.0,0.0,0,17,6,8
20,18.442164551214976,18.59738298511436,0,17,1,1
21,19.271158039485524,19.490730976182686,0,17,1,4
22,3.448012216940649,3.0887053460583873,0,17,1,9
23,204.4969997556125,188.84110052221746,0,17,1,5
24,21.739767252437954,18.93275262694087,0,17,1,3
25,16.843597070874875,55.58105865607118,0,17,1,10
26,175.77282678848795,181.63189808395083,0,17,1,6
27,13.854501690518406,16.575172914767702,0,17,1,7
28,156.0743257920129,184.45192686323634,0,17,1,2
29,14.86702494312597,15.964293710286677,0,17,1,8
30,5.107810503215041,4.239304485776465,0,17,3,1
31,4.598872880609309,4.1936182061649205,0,17,3,4
32,1.9005434504216687,1.665309991078208,0,17,3,9
33,8.32176111914667,7.449096587175366,0,17,3,5
34,4.314290284710416,4.184234915961371,0,17,3,3
35,1.9778774283670544,5.670860332661927,0,17,3,10
36,8.1524680599945,7.514261336682191,0,17,3,6
37,2.0769214805907166,2.375684064995384,0,17,3,7
38,7.0495038230956375,7.229146138738441,0,17,3,2
39,2.680454467156857,2.385699226149763,0,17,3,8
40,0.0,0.0,0,17,7,1
41,0.0,0.0,0,17,7,4
42,0.0,0.0,0,17,7,9
43,0.0,0.0,0,17,7,5
44,0.0,0.0,0,17,7,3
45,0.0,0.0,0,17,7,10
46,0.0,0.0,0,17,7,6
47,0.0,0.0,0,17,7,7
48,0.0,0.0,0,17,7,2
49,0.0,0.0,0,17,7,8
50,0.0,0.0,0,17,8,1
51,0.0,0.0,0,17,8,4
52,0.0,0.0,0,17,8,9
53,0.0,0.0,0,17,8,5
54,0.0,0.0,0,17,8,3
55,0.0,0.0,0,17,8,10
56,0.0,0.0,0,17,8,6
57,0.0,0.0,0,17,8,7
58,0.0,0.0,0,17,8,2
59,0.0,0.0,0,17,8,8
60,0.0,0.0,0,17,9,1
61,0.0,0.0,0,17,9,4
62,0.0,0.0,0,17,9,9
63,0.0,0.0,0,17,9,5
64,0.0,0.0,0,17,9,3
65,0.0,0.0,0,17,9,10
66,0.0,0.0,0,17,9,6
67,0.0,0.0,0,17,9,7
68,0.0,0.0,0,17,9,2
69,0.0,0.0,0,17,9,8
70,12.713651562143948,12.636236900462524,0,17,4,1
71,13.156943665204407,12.737660083594022,0,17,4,4
72,1.2690514801619992,1.4746048837895787,0,17,4,9
73,93.91466879149363,93.25040937235363,0,17,4,5
74,13.011558932089414,12.83972278214989,0,17,4,3
75,6.6402901118317175,16.984373892708238,0,17,4,10
76,84.17880225404926,94.77806480690579,0,17,4,6
77,7.256425530517104,8.735594060643907,0,17,4,7
78,84.43609490173253,93.5818297064568,0,17,4,2
79,6.911242712189686,8.517824996462327,0,17,4,8
80,34208.48127196756,29919.06782311434,0,17,2,1
81,22185.366238518713,29350.401968653325,0,17,2,4
82,6905.773269943002,7746.31830907176,0,17,2,9
83,17474.87070269524,16417.8245364346,0,17,2,5
84,28022.337144167916,29830.209268163067,0,17,2,3
85,3126.808776238626,9488.386404900797,0,17,2,10
86,16659.005295123672,15609.49471871509,0,17,2,6
87,20272.0507812567,22877.235977699685,0,17,2,7
88,17318.64294176286,16010.03802823376,0,17,2,2
89,19854.45658040193,19599.709826191636,0,17,2,8
90,0.0,0.0,0,17,10,1
91,0.0,0.0,0,17,10,4
92,0.0,0.0,0,17,10,9
93,0.0,0.0,0,17,10,5
94,0.0,0.0,0,17,10,3
95,0.0,0.0,0,17,10,10
96,0.0,0.0,0,17,10,6
97,0.0,0.0,0,17,10,7
98,0.0,0.0,0,17,10,2
99,0.0,0.0,0,17,10,8
100,446.6062257817903,550.1278137856136,0,2,5,1
101,635.6534958712191,544.0853468077038,0,2,5,4
102,8.226240704693964,7.67910439344881,0,2,5,9
103,158.10640087724641,145.19600182312382,0,2,5,5
104,558.8948789052376,549.2495784389004,0,2,5,3
105,18.11898618650553,36.17085467196067,0,2,5,10
106,150.88785647915253,141.68782784625066,0,2,5,6
107,697.1308373842007,554.1052577589754,0,2,5,7
108,140.53360511727686,145.34291314967905,0,2,5,2
109,502.6458978121404,543.4806386234261,0,2,5,8
110,52.43990829843732,49.48551331974758,0,2,6,1
111,49.72413001086646,51.557430673108385,0,2,6,4
112,42.71788458902809,44.40711035103303,0,2,6,9
113,55.28538262700533,58.95628202668274,0,2,6,5
114,43.18977283298032,50.86378393027731,0,2,6,3
115,22.844509460879863,53.89187492603834,0,2,6,10
116,61.0299942899472,57.02348407862734,0,2,6,6
117,48.16671258448071,49.776256471785324,0,2,6,7
118,49.01323836986502,56.16246246758995,0,2,6,2
119,25.36652440523035,30.76131918490648,0,2,6,8
120,9337.298852769567,8885.145721663375,0,2,1,1
121,8773.602108094476,8509.367010271626,0,2,1,4
122,240.93718695329417,185.71484953805137,0,2,1,9
123,5319.6872220529685,6385.865651320651,0,2,1,5
124,9341.322513723326,8630.882137394325,0,2,1,3
